sample_id,date,source_year,state,district,district_dist_km,latitude,longitude,rainfall_24h_mm,rain_3d_mm,rain_7d_mm,rainfall_bin,slope_deg,slope_bin,historical_incidents_90d,nearest_river,river_danger_level_m,river_danger_level_is_official,river_gauge_dist_km,present_river_level_m,river_level_ratio,river_bin,rainfall_risk,slope_risk,incident_risk,river_risk,rainfall_slope_interaction,rainfall_river_interaction,slope_rainfall_river_interaction,blocked
11058,28-08-2023,2023,Assam,Goalpara,15.72666780637964,26.25,90.75,105.66198,227.10766983032227,485.9425781965256,high,6.8,low,1,Brahmaputra (Goalpara gauge),36.27,TRUE,15.7,39.9,1.1,critical,0.6956099,0.099750489,0.3934693402873666,0.9820137900379085,0.06938743,0.6830985409755007,0.068139414,1
57,25-02-2023,2023,Assam,Bongaigaon,58.12752958742064,27,90.5,0,22.572141647338867,25.660405725240707,low,5.7,low,1,Manas,33,FALSE,90.5,12.7,0.385,low,0.03229546,0.084452474,0.3934693402873666,3.3631964038671236e-05,0.002727432,1.0861598079888467e-06,9.172888326181827e-08,0
642,06-08-2024,2024,Assam,Kamrup Metropolitan (Guwahati),46.12916727784234,26.5,91.5,25.389341,27.577194929122925,42.846834659576416,low,5.4,low,1,Brahmaputra (Guwahati gauge),49.68,TRUE,46.1,24.84,0.5,low,0.084368,0.080665925,0.3934693402873666,0.00033535,0.006805623,2.829281911783501e-05,2.2822664247126265e-06,1
7798,12-07-2024,2024,Meghalaya,West Garo Hills (Tura),30.439910707173485,25.25,90.25,81.02515,131.4180908203125,173.0752649307251,high,15.7,moderate,1,Brahmaputra (Dhubri gauge),28.62,TRUE,89.8,22.87,0.799,low,0.46033505,0.3281274275453745,0.3934693402873666,0.11711899087578057,0.15104855447033033,0.053913976058475456,0.017690654272810462,1
8948,05-06-2023,2023,Sikkim,North Sikkim (Mangan),34.37889989516623,27.75,88.75,0,0.8395403027534485,9.579129993915558,low,34.2,very_high,1,Teesta,15,FALSE,68,7.3,0.487,low,0.03229546,0.9142498977455041,0.3934693402873666,0.000258592,0.029526122597159886,8.351351403642496e-06,7.635222166816925e-06,1
6235,14-04-2023,2023,Mizoram,Kolasib,65.59778981832208,24.5,93.25,0,0,0,low,19.7,moderate,0,Barak,20.5,FALSE,60,7.01,0.342,low,0.03229546,0.4875026035157896,0,1.4232048039505742e-05,0.015744121681978734,4.596305629996249e-07,2.2407109611774528e-07,1
6026,31-05-2025,2025,Arunachal Pradesh,West Siang (Aalo),78.89280375455775,28.25,94,145.85454,184.97149801254272,192.77842411398888,critical,15.9,moderate,0,Subansiri,42,FALSE,112.8,30.7,0.731,low,0.91939694,0.3355177436521295,0,0.032926395,0.30847398578717405,0.030272426520351305,0.010156936240983157,1
2780,21-08-2024,2024,Meghalaya,West Garo Hills (Tura),32.49726549,25.75,90,166.09451,179.64958918094635,207.40678942203522,critical,14.5,moderate,0,Brahmaputra (Dhubri gauge),28.62,TRUE,30.1,25.76,0.9,moderate,0.96244895,0.2856375705089441,0,0.5,0.2749115811257368,0.4812244772911072,0.1374557905628684,1
7192,28-09-2023,2023,Mizoram,Lunglei,12.40170304943419,23,92.75,4.3159957,29.013335347175598,37.80557143688202,low,22.2,high,1,Tlawng,9,FALSE,81.2,4.66,0.518,low,0.03814899,0.5906532827008858,0.3934693402873666,0.000480597,0.022532827216894532,1.8334305001782173e-05,1.082921743534191e-05,0
11040,30-06-2024,2024,Arunachal Pradesh,Dibang Valley (Anini),34.75640507,28.5,95.75,129.08498,253.48167610168457,282.6119728088379,critical,32.5,very_high,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,140.8,102.32,0.968,high,0.85363483,0.8892726820276319,0.3934693402873666,0.7957596977159079,0.759114139,0.679288198,0.6040724374330793,1
1036,16-09-2023,2023,Assam,Lakhimpur,89.70866500475027,27.5,93.25,0,1.9495103359222412,6.798279909417033,low,1.9,low,0,Dikrong,14,FALSE,57.6,7.76,0.554,low,0.03229546,0.046678582884555266,0,0.000986855,0.001507506,3.187094098433611e-05,1.4876903603461025e-06,1
7725,28-06-2024,2024,Sikkim,East Sikkim (Gangtok),14.045978741797946,27.25,88.5,48.38629,89.89252853393555,159.04395389556885,low,33.4,very_high,1,Teesta,15,FALSE,9.4,14.01,0.934,moderate,0.18777265,0.9032031749460475,0.3934693402873666,0.6637386974043528,0.1695968505286978,0.12463197182685147,0.11256799265379859,1
2883,19-08-2023,2023,Arunachal Pradesh,Dibang Valley (Anini),50.97360503493142,29.25,95.75,56.70858,56.774826407432556,161.67772793769836,moderate,26.3,high,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,213.7,86.25,0.816,moderate,0.24385548,0.740774899,0,0.15709546888545253,0.18064201592996212,0.03830859,0.028378042192930785,0
11271,03-08-2025,2025,Meghalaya,West Khasi Hills (Nongstoin),37.23865322,25.75,91,67.38054,95.70570182800293,127.64299535751343,moderate,24.7,high,2,Brahmaputra (Goalpara gauge),36.27,TRUE,60.2,24.01,0.662,low,0.33075365,0.6863980785519272,0.6321205588285577,0.008492863,0.2270286727454366,0.002809045,0.001928123,1
6032,08-08-2025,2025,Arunachal Pradesh,Lohit (Tezu),47.53482986943436,27.5,96.25,0,7.923583269119263,74.12194180488586,low,23.4,high,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,133.2,61.41,0.581,low,0.03229546,0.6379936706609838,0.3934693402873666,0.001692254,0.0206043,5.4652136505901395e-05,3.486771717886519e-05,0
7731,28-08-2023,2023,Assam,Bongaigaon,43.024340111688346,26.75,90.25,110.85967,180.1519971,334.1894268989563,high,4.6,low,0,Brahmaputra (Goalpara gauge),36.27,TRUE,74.3,34.46,0.95,high,0.73776555,0.071314752,0,0.7310585786300047,0.052613567,0.5393498347936174,0.0384636,1
1817,04-06-2023,2023,Assam,Sonitpur (Tezpur),82.11364967,27.25,93.25,31.071795,50.679757833480835,50.679757833480835,low,1.3,low,0,Dikrong,14,FALSE,40.2,14.77,1.055,critical,0.10366698,0.042424982,0,0.9568927450589139,0.00439807,0.099198184,0.004208481,1
565,01-11-2025,2025,Sikkim,North Sikkim (Mangan),54.565426187614776,28,88.5,21.946539,68.77025127410889,72.20873761177063,low,29.8,high,2,Teesta,15,FALSE,92.3,10.94,0.729,low,0.0743207,0.8366257604866205,0.6321205588285577,0.031676228,0.062178609057120346,0.002354199,0.001969584,0
3636,23-04-2023,2023,Assam,Dhubri,58.09272202720824,26.5,89.75,17.103249,55.845327377319336,57.475951448082924,low,6,low,1,Brahmaputra (Dhubri gauge),28.62,TRUE,58.1,8.33,0.291,low,0.06204336,0.088399677,0.3934693402873666,5.132051213235381e-06,0.005484613,3.184097079705301e-07,2.8147315404188593e-08,1
5594,13-08-2023,2023,Assam,Barpeta,47.813818457160224,26.75,91,81.20456,109.82017719745636,185.64743506908417,high,10.2,moderate,0,Manas,33,FALSE,47.8,24.78,0.751,low,0.4621183,0.1633742395133794,0,0.048337629,0.075498225,0.022337702704471652,0.003649405,0
9471,11-04-2023,2023,Arunachal Pradesh,Tawang,113.40793046186242,28.25,92.75,1.63738,1.640790716279298,12.008813217747957,low,9.4,low,0,Dikrong,14,FALSE,153.9,6.51,0.465,low,0.03440626,0.14595735144380453,0,0.000166558,0.005021847,5.730640024521973e-06,8.364290400570863e-07,1
978,16-03-2024,2024,Meghalaya,Ri Bhoi (Nongpoh),20.55372155752475,25.75,91.75,0,0,0,low,18.8,moderate,2,Brahmaputra (Guwahati gauge),49.68,TRUE,43.4,22.65,0.456,low,0.03229546,0.45016600268752216,0.6321205588285577,0.000139125,0.014538319,4.493099887175748e-06,2.0226408158856634e-06,1
8544,02-06-2025,2025,Mizoram,Mamit,8.359253396990315,24,92.5,65.42722,226.56446075439453,328.01154613494873,moderate,23.4,high,1,Tlawng,9,FALSE,37.4,9.77,1.086,critical,0.31369284,0.6379936706609838,0.3934693402873666,0.9763394218445388,0.2001340451460577,0.3062706840443587,0.1953987579293108,1
518,29-07-2023,2023,Arunachal Pradesh,East Siang (Pasighat),21.49676188089619,28.25,95.25,98.62301,170.4848508834839,247.49094438552856,high,29.3,high,2,Brahmaputra (Dibrugarh gauge),105.7,TRUE,92.3,86.67,0.82,moderate,0.63295627,0.8249137318359602,0.6321205588285577,0.16798161486607532,0.5221343158076185,0.10632501577001102,0.087708966,1
7105,09-07-2023,2023,Arunachal Pradesh,Upper Siang (Yingkiong),32.16164670076956,28.75,94.75,14.129992,75.78382682800293,125.51700687408447,low,31.3,very_high,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,142,103.37,0.978,high,0.05547234,0.8679935310489294,0,0.8263533529809949,0.048149633,0.045839754515991656,0.03978861,1
10089,28-01-2024,2024,Mizoram,Mamit,20.24632473415735,23.75,92.5,0,0,0.6654060482978821,low,25.4,high,3,Tlawng,9,FALSE,22.5,4.62,0.513,low,0.03229546,0.7109495026250039,0.7768698398515702,0.000434882,0.022960442463991444,1.4044726947412934e-05,9.985091637767214e-06,0
4438,24-07-2023,2023,Arunachal Pradesh,Upper Siang (Yingkiong),32.16164670076956,28.75,94.75,20.191156,23.303033709526062,23.408833019435406,low,31.3,very_high,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,142,67.75,0.641,low,0.06963214,0.8679935310489294,0,0.005596509,0.060440249488034815,0.000389697,0.000338254,0
309,23-09-2023,2023,Arunachal Pradesh,Dibang Valley (Anini),86.99073261289388,29.5,96.25,13.811238,38.39128303527832,48.37166592478752,low,35.3,very_high,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,260.5,66.27,0.627,low,0.05480808,0.9275735146384823,0,0.00423554,0.050838524,0.000232142,0.000215329,1
5000,08-01-2025,2025,Mizoram,Saiha,49.32504022366385,22.5,92.5,0,0,0,low,17.7,moderate,1,Tlawng,9,FALSE,138.6,3.86,0.429,low,0.03229546,0.40532318982985244,0.3934693402873666,8.107944489971729e-05,0.013090099571134443,2.6184981109892554e-06,1.0613380069096078e-06,1
4468,24-07-2025,2025,Mizoram,Champhai,40.989426171045125,23.25,93,50.20102,114.00921249389648,200.0144944190979,moderate,21.6,high,1,Tlawng,9,FALSE,60.5,7.42,0.824,moderate,0.19909516,0.5662743941954392,0.3934693402873666,0.1794615194073266,0.11274249098546764,0.035729919878799636,0.020232938734018845,1
6386,01-03-2024,2024,Sikkim,South Sikkim (Namchi),40.342856634435236,27,88,0,0,11.87945271,low,35.2,very_high,1,Teesta,15,FALSE,55.8,7.68,0.512,low,0.03229546,0.926445823,0.3934693402873666,0.000426275,0.029919995636755046,1.3766741269631426e-05,1.2754139946469081e-05,1
9885,29-07-2024,2024,Manipur,Ukhrul,15.162015101394168,25,94.5,0,4.223157644271851,17.31131386756897,low,8.4,low,2,Imphal River,8,FALSE,59.9,3.64,0.455,low,0.03229546,0.12638208935801287,0.6321205588285577,0.00013637,0.004081568,4.404142681222217e-06,5.566047538836646e-07,0
10637,21-08-2024,2024,Mizoram,Mamit,23.670395003790706,24,92.75,63.05827,117.32630729675293,253.67398357391357,moderate,23.4,high,0,Tlawng,9,FALSE,30.2,7.76,0.862,moderate,0.293661,0.6379936706609838,0,0.3186462662109743,0.18735385826372647,0.093573981,0.059699607,0
5581,04-08-2025,2025,Meghalaya,West Garo Hills (Tura),30.439910707173485,25.25,90.25,81.82764,182.78332901000977,234.16547274589539,high,15.7,moderate,1,Brahmaputra (Dhubri gauge),28.62,TRUE,89.8,22.92,0.801,moderate,0.46831885,0.3281274275453745,0.3934693402873666,0.12131883789173692,0.15366825945654453,0.056815898620775615,0.018642854658113894,1
7030,17-06-2023,2023,Meghalaya,West Garo Hills (Tura),26.06141026406946,25.75,90.25,89.90475,240.34462356567383,382.71929121017456,high,15.9,moderate,1,Brahmaputra (Dhubri gauge),28.62,TRUE,40.4,28.56,0.998,high,0.5488907,0.3355177436521295,0.3934693402873666,0.8765329524347759,0.18416257248955142,0.48112079449251927,0.16142456339224995,1
9466,11-06-2024,2024,Arunachal Pradesh,Tawang,113.40793046186242,28.25,92.75,0.52183896,0.8244886547327042,3.6137240678071976,low,9.4,low,0,Dikrong,14,FALSE,153.9,16.48,1.177,critical,0.03295422,0.14595735144380453,0,0.9960888304738083,0.004809911,0.032825330188745915,0.004791098,0
5602,01-09-2023,2023,Arunachal Pradesh,West Siang (Aalo),78.89280375455775,28.25,94,0.9100262,1.702104389667511,66.38372117,low,15.9,moderate,0,Subansiri,42,FALSE,112.8,36.46,0.868,moderate,0.033452664,0.3355177436521295,0,0.34524653939368066,0.011223962200375751,0.011549416331265362,0.003875034,1
1865,10-08-2024,2024,Arunachal Pradesh,East Siang (Pasighat),45.78089928774544,28.25,95.75,56.008125,101.07215118408203,151.8535017967224,moderate,24.8,high,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,119.6,70.18,0.664,low,0.23872632,0.6899744811276125,0,0.0088364,0.16471506731250954,0.002109481,0.001455488,0
3508,22-08-2024,2024,Tripura,Gomati (Udaipur),58.96871409902243,23,91.5,150.50853,443.9527816772461,581.9693565368652,critical,16.1,moderate,0,Gomti,12,FALSE,59,14.84,1.237,critical,0.9321593,0.3429895373265012,0,0.9988187498455208,0.3197208886058075,0.9310581912962552,0.31934321825675166,0
11413,15-04-2024,2024,Mizoram,Lunglei,46.43329344137618,23.25,92.5,0,0,0,low,24.2,high,1,Tlawng,9,FALSE,57.9,3.7,0.411,low,0.03229546,0.668187772,0.3934693402873666,5.6568595860266094e-05,0.021579432633912404,1.8269089235209832e-06,1.2207182035616282e-06,1
11198,08-03-2025,2025,Meghalaya,East Khasi Hills (Shillong),14.33693072742726,25.5,92,0,0,0,low,22.3,high,0,Brahmaputra (Guwahati gauge),49.68,TRUE,76.1,20.82,0.419,low,0.03229546,0.5946768101701476,0,6.638321062987184e-05,0.019205362,2.1438764393455705e-06,1.2749136023489577e-06,0
4493,10-10-2023,2023,Mizoram,Kolasib,65.59778981832208,24.5,93.25,0,0.6018049120903015,18.44687432050705,low,19.7,moderate,0,Barak,20.5,FALSE,60,6.36,0.31,low,0.03229546,0.4875026035157896,0,7.50450159711e-06,0.015744121681978734,2.423613442377786e-07,1.1815178630750357e-07,0
9107,19-09-2023,2023,Mizoram,Mamit,8.359253396990315,24,92.5,71.2645,85.18285561,143.77134203910828,moderate,23.4,high,1,Tlawng,9,FALSE,37.4,6.05,0.672,low,0.365999,0.6379936706609838,0.3934693402873666,0.010353737531091752,0.23350505388051565,0.003789458,0.00241765,1
3009,25-07-2023,2023,Arunachal Pradesh,Tawang,113.40793046186242,28.25,92.75,17.377132,41.18086051940918,54.59385538101196,low,9.4,low,0,Dikrong,14,FALSE,153.9,9.9,0.707,low,0.062683985,0.14595735144380453,0,0.020633297226906176,0.009149188,0.001293377,0.000188778,1
450,13-12-2023,2023,Arunachal Pradesh,Dibang Valley (Anini),78.43989738,29.5,95.75,0.025997775,0.025997774675488472,7.775584356859326,low,31.1,very_high,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,239.5,51.58,0.488,low,0.032327987,0.8641271029909058,0.3934693402873666,0.000263815,0.027935489971037262,8.52859609063704e-06,7.36979103238175e-06,1
4731,07-07-2024,2024,Meghalaya,West Khasi Hills (Nongstoin),40.46060082662237,25.25,91,14.68161,249.7280502319336,962.2329864501953,low,21.6,high,0,Brahmaputra (Goalpara gauge),36.27,TRUE,109.2,36.34,1.002,critical,0.056639835,0.5662743941954392,0,0.8849332679544502,0.032073688,0.050122474,0.028383073879648724,1
3799,03-04-2024,2024,Assam,Tinsukia,46.85415864931045,27.25,95.75,24.017426,147.7072982788086,154.7829853,low,6,low,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,87.7,50.63,0.479,low,0.08022434,0.088399677,0,0.000220366,0.007091806,1.7678723982642224e-05,1.5627934934982547e-06,1
8556,02-02-2024,2024,Tripura,Unakoti (Kailashahar),8.953145001584208,24.25,92,24.798803,24.798803329467773,24.798803329467773,low,14.2,moderate,0,Khowai,10,FALSE,21.8,4.82,0.482,low,0.082561076,0.2755454045751979,0,0.00023399,0.022749325002450495,1.931843058530873e-05,5.323104771386772e-06,0
11327,23-02-2024,2024,Arunachal Pradesh,Lohit (Tezu),49.58826380333854,28.25,96.5,52.51386,114.82936096191406,114.82936096191406,moderate,27.1,high,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,179.1,53.38,0.505,low,0.21425833,0.7655466165664546,0,0.000370606,0.16402473813296514,7.94054520668588e-05,6.078857516671355e-05,0
9699,12-12-2023,2023,Manipur,Senapati,53.411289001307246,25.75,94,0,1.4479314088821411,29.545835554599762,low,13.5,moderate,0,Doyang,18,FALSE,46.8,7.24,0.402,low,0.03229546,0.25287573272933045,0,4.7250503328810187e-05,0.008166739,1.5259768226436441e-06,3.85882507153987e-07,0
7052,28-03-2023,2023,Arunachal Pradesh,Lohit (Tezu),111.3719075676857,27.25,97,55.418247,70.28349008411169,84.70550009,moderate,25.5,high,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,208.9,42.28,0.4,low,0.23446473,0.7143624294910559,0,4.5397868702434395e-05,0.16749279757649596,1.064419924547052e-05,7.603816032981186e-06,1
6266,01-07-2024,2024,Meghalaya,Ri Bhoi (Nongpoh),21.154203807290756,25.75,92,78.026924,94.92691040039062,139.57831001281738,moderate,16.2,moderate,0,Brahmaputra (Guwahati gauge),49.68,TRUE,51.1,38.5,0.775,low,0.43071783,0.34675509928171655,0,0.07585818,0.149353602,0.032673470374690955,0.011329692463654187,1
8614,31-05-2025,2025,Arunachal Pradesh,Lohit (Tezu),41.239265843276534,28,95.75,124.56906,146.39580011367798,153.7967725,critical,30.2,very_high,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,101.7,54.33,0.514,low,0.8295954,0.8455347349164652,0.3934693402873666,0.000443664,0.7014517156197174,0.000368061,0.000311209,1
11737,20-09-2024,2024,Arunachal Pradesh,Upper Siang (Yingkiong),103.98545779671782,29.25,94.25,36.031406,36.03140640258789,36.03140640258789,low,26.3,high,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,206.8,70.08,0.663,low,0.12360307,0.740774899,0,0.008662944,0.09156205,0.001070766,0.000793197,1
9985,18-11-2024,2024,Meghalaya,West Khasi Hills (Nongstoin),23.188431382040516,25.5,91.5,0,0,0,low,18.7,moderate,0,Brahmaputra (Guwahati gauge),49.68,TRUE,74.8,39.84,0.802,moderate,0.03229546,0.44604424528039294,0,0.12346704756522404,0.014405205,0.003987425,0.001778568,1
9043,15-06-2023,2023,Meghalaya,East Garo Hills (Williamnagar),13.236422837073917,25.5,90.75,87.65596,172.39309692382812,290.9705767631531,high,19.7,moderate,0,Brahmaputra (Goalpara gauge),36.27,TRUE,75.6,32.79,0.904,moderate,0.5265347,0.4875026035157896,0,0.5199893401555818,0.2566870256603559,0.273792419,0.13347451709962738,1
3285,14-12-2024,2024,Sikkim,East Sikkim (Gangtok),16.44773217539996,27.25,88.75,0,0,0,low,29.8,high,2,Teesta,15,FALSE,23.5,5.73,0.382,low,0.03229546,0.8366257604866205,0.6321205588285577,3.167345296117477e-05,0.027019215241899167,1.022908788410222e-06,8.557918430121495e-07,0
5569,21-02-2024,2024,Arunachal Pradesh,West Siang (Aalo),78.89280375455775,28.25,94,2.672883,4.696382046,5.865698456764221,low,15.9,moderate,0,Subansiri,42,FALSE,112.8,17.26,0.411,low,0.03580919,0.3355177436521295,0,5.6568595860266094e-05,0.012014618322534018,2.0256755452178044e-06,6.79650088302775e-07,0
5964,17-11-2025,2025,Manipur,Ukhrul,12.399514514904968,25,94.25,0,0,0,low,13.9,moderate,1,Imphal River,8,FALSE,37.1,6.54,0.817,moderate,0.03229546,0.2656772018084624,0.3934693402873666,0.15976199694366885,0.008580168,0.005159587,0.001370785,1
3632,30-06-2025,2025,Arunachal Pradesh,Upper Siang (Yingkiong),32.66992691956707,28.5,94.75,25.226292,27.134627997875214,96.36559456586838,low,25.3,high,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,114.4,73.46,0.695,low,0.083865546,0.7075124931386416,0,0.016302499371440918,0.059335921,0.001367218,0.000967324,0
7609,29-05-2024,2024,Meghalaya,West Jaintia Hills (Jowai),74.59648014705822,25,92.75,118.86742,212.81753396987915,215.3974573612213,high,20.7,high,1,Barak,20.5,FALSE,19.1,14.64,0.714,low,0.7948964,0.5291336290720468,0.3934693402873666,0.023660578155461187,0.4206064294705121,0.018807709,0.009951791,1
10146,29-07-2023,2023,Meghalaya,West Khasi Hills (Nongstoin),30.089783951068583,25.25,91.25,75.73053,299.61376190185547,318.4692997932434,moderate,18.9,moderate,0,Brahmaputra (Guwahati gauge),49.68,TRUE,110,45.9,0.924,moderate,0.40835285,0.4542946124155941,0,0.6177478747692491,0.1855125005680283,0.2522591063972187,0.11459995296902858,1
7470,31-05-2024,2024,Meghalaya,West Garo Hills (Tura),45.21424988362759,25.5,89.75,116.46128,194.01550483703613,384.44921684265137,high,14.7,moderate,0,Brahmaputra (Dhubri gauge),28.62,TRUE,62.2,26.39,0.922,moderate,0.7787594,0.2924875068613584,0,0.6082590307465146,0.22777740117663114,0.4736874499440773,0.13854766126565765,1
