state,rainfall_24h_mm,rain_3d_mm,rain_7d_mm,slope_deg,historical_incidents_90d,nearest_river,river_danger_level_m,river_danger_level_is_official,present_river_level_m,river_level_ratio,blocked,month
Assam,105.66198,227.1076698,485.9425782,6.8,1,Brahmaputra (Goalpara gauge),36.27,TRUE,39.9,1.1,1,8
Assam,0,22.57214165,25.66040573,5.7,1,Manas,33,FALSE,12.7,0.385,0,2
Assam,25.389341,27.57719493,42.84683466,5.4,1,Brahmaputra (Guwahati gauge),49.68,TRUE,24.84,0.5,1,8
Meghalaya,81.02515,131.4180908,173.0752649,15.7,1,Brahmaputra (Dhubri gauge),28.62,TRUE,22.87,0.799,1,7
Sikkim,0,0.839540303,9.579129994,34.2,1,Teesta,15,FALSE,7.3,0.487,1,6
Mizoram,0,0,0,19.7,0,Barak,20.5,FALSE,7.01,0.342,1,4
Arunachal Pradesh,145.85454,184.971498,192.7784241,15.9,0,Subansiri,42,FALSE,30.7,0.731,1,5
Meghalaya,166.09451,179.6495892,207.4067894,14.5,0,Brahmaputra (Dhubri gauge),28.62,TRUE,25.76,0.9,1,8
Mizoram,4.3159957,29.01333535,37.80557144,22.2,1,Tlawng,9,FALSE,4.66,0.518,0,9
Arunachal Pradesh,129.08498,253.4816761,282.6119728,32.5,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,102.32,0.968,1,6
Assam,0,1.949510336,6.798279909,1.9,0,Dikrong,14,FALSE,7.76,0.554,1,9
Sikkim,48.38629,89.89252853,159.0439539,33.4,1,Teesta,15,FALSE,14.01,0.934,1,6
Arunachal Pradesh,56.70858,56.77482641,161.6777279,26.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,86.25,0.816,0,8
Meghalaya,67.38054,95.70570183,127.6429954,24.7,2,Brahmaputra (Goalpara gauge),36.27,TRUE,24.01,0.662,1,8
Arunachal Pradesh,0,7.923583269,74.1219418,23.4,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,61.41,0.581,0,8
Assam,110.85967,180.1519971,334.1894269,4.6,0,Brahmaputra (Goalpara gauge),36.27,TRUE,34.46,0.95,1,8
Assam,31.071795,50.67975783,50.67975783,1.3,0,Dikrong,14,FALSE,14.77,1.055,1,6
Sikkim,21.946539,68.77025127,72.20873761,29.8,2,Teesta,15,FALSE,10.94,0.729,0,11
Assam,17.103249,55.84532738,57.47595145,6,1,Brahmaputra (Dhubri gauge),28.62,TRUE,8.33,0.291,1,4
Assam,81.20456,109.8201772,185.6474351,10.2,0,Manas,33,FALSE,24.78,0.751,0,8
Arunachal Pradesh,1.63738,1.640790716,12.00881322,9.4,0,Dikrong,14,FALSE,6.51,0.465,1,4
Meghalaya,0,0,0,18.8,2,Brahmaputra (Guwahati gauge),49.68,TRUE,22.65,0.456,1,3
Mizoram,65.42722,226.5644608,328.0115461,23.4,1,Tlawng,9,FALSE,9.77,1.086,1,6
Arunachal Pradesh,98.62301,170.4848509,247.4909444,29.3,2,Brahmaputra (Dibrugarh gauge),105.7,TRUE,86.67,0.82,1,7
Arunachal Pradesh,14.129992,75.78382683,125.5170069,31.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,103.37,0.978,1,7
Mizoram,0,0,0.665406048,25.4,3,Tlawng,9,FALSE,4.62,0.513,0,1
Arunachal Pradesh,20.191156,23.30303371,23.40883302,31.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,67.75,0.641,0,7
Arunachal Pradesh,13.811238,38.39128304,48.37166592,35.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,66.27,0.627,1,9
Mizoram,0,0,0,17.7,1,Tlawng,9,FALSE,3.86,0.429,1,1
Mizoram,50.20102,114.0092125,200.0144944,21.6,1,Tlawng,9,FALSE,7.42,0.824,1,7
Sikkim,0,0,11.87945271,35.2,1,Teesta,15,FALSE,7.68,0.512,1,3
Manipur,0,4.223157644,17.31131387,8.4,2,Imphal River,8,FALSE,3.64,0.455,0,7
Mizoram,63.05827,117.3263073,253.6739836,23.4,0,Tlawng,9,FALSE,7.76,0.862,0,8
Meghalaya,81.82764,182.783329,234.1654727,15.7,1,Brahmaputra (Dhubri gauge),28.62,TRUE,22.92,0.801,1,8
Meghalaya,89.90475,240.3446236,382.7192912,15.9,1,Brahmaputra (Dhubri gauge),28.62,TRUE,28.56,0.998,1,6
Arunachal Pradesh,0.52183896,0.824488655,3.613724068,9.4,0,Dikrong,14,FALSE,16.48,1.177,0,6
Arunachal Pradesh,0.9100262,1.70210439,66.38372117,15.9,0,Subansiri,42,FALSE,36.46,0.868,1,9
Arunachal Pradesh,56.008125,101.0721512,151.8535018,24.8,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,70.18,0.664,0,8
Tripura,150.50853,443.9527817,581.9693565,16.1,0,Gomti,12,FALSE,14.84,1.237,0,8
Mizoram,0,0,0,24.2,1,Tlawng,9,FALSE,3.7,0.411,1,4
Meghalaya,0,0,0,22.3,0,Brahmaputra (Guwahati gauge),49.68,TRUE,20.82,0.419,0,3
Mizoram,0,0.601804912,18.44687432,19.7,0,Barak,20.5,FALSE,6.36,0.31,0,10
Mizoram,71.2645,85.18285561,143.771342,23.4,1,Tlawng,9,FALSE,6.05,0.672,1,9
Arunachal Pradesh,17.377132,41.18086052,54.59385538,9.4,0,Dikrong,14,FALSE,9.9,0.707,1,7
Arunachal Pradesh,0.025997775,0.025997775,7.775584357,31.1,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,51.58,0.488,1,12
Meghalaya,14.68161,249.7280502,962.2329865,21.6,0,Brahmaputra (Goalpara gauge),36.27,TRUE,36.34,1.002,1,7
Assam,24.017426,147.7072983,154.7829853,6,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,50.63,0.479,1,4
Tripura,24.798803,24.79880333,24.79880333,14.2,0,Khowai,10,FALSE,4.82,0.482,0,2
Arunachal Pradesh,52.51386,114.829361,114.829361,27.1,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,53.38,0.505,0,2
Manipur,0,1.447931409,29.54583555,13.5,0,Doyang,18,FALSE,7.24,0.402,0,12
Arunachal Pradesh,55.418247,70.28349008,84.70550009,25.5,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,42.28,0.4,1,3
Meghalaya,78.026924,94.9269104,139.57831,16.2,0,Brahmaputra (Guwahati gauge),49.68,TRUE,38.5,0.775,1,7
Arunachal Pradesh,124.56906,146.3958001,153.7967725,30.2,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,54.33,0.514,1,5
Arunachal Pradesh,36.031406,36.0314064,36.0314064,26.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,70.08,0.663,1,9
Meghalaya,0,0,0,18.7,0,Brahmaputra (Guwahati gauge),49.68,TRUE,39.84,0.802,1,11
Meghalaya,87.65596,172.3930969,290.9705768,19.7,0,Brahmaputra (Goalpara gauge),36.27,TRUE,32.79,0.904,1,6
Sikkim,0,0,0,29.8,2,Teesta,15,FALSE,5.73,0.382,0,12
Arunachal Pradesh,2.672883,4.696382046,5.865698457,15.9,0,Subansiri,42,FALSE,17.26,0.411,0,2
Manipur,0,0,0,13.9,1,Imphal River,8,FALSE,6.54,0.817,1,11
Arunachal Pradesh,25.226292,27.134628,96.36559457,25.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,73.46,0.695,0,6
Meghalaya,118.86742,212.817534,215.3974574,20.7,1,Barak,20.5,FALSE,14.64,0.714,1,5
Meghalaya,75.73053,299.6137619,318.4692998,18.9,0,Brahmaputra (Guwahati gauge),49.68,TRUE,45.9,0.924,1,7
Meghalaya,116.46128,194.0155048,384.4492168,14.7,0,Brahmaputra (Dhubri gauge),28.62,TRUE,26.39,0.922,1,5
Manipur,70.47775,74.58262551,112.6719223,11.2,0,Imphal River,8,FALSE,8.82,1.102,0,7
Meghalaya,15.328938,50.48046343,85.78052752,18.6,2,Brahmaputra (Dhubri gauge),28.62,TRUE,30.91,1.08,1,6
Meghalaya,47.205242,198.2835655,286.7643261,19.7,0,Brahmaputra (Goalpara gauge),36.27,TRUE,36.56,1.008,1,7
Arunachal Pradesh,0,0,0,30.3,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,44.08,0.417,0,11
Mizoram,80.35795,89.79703426,96.39507997,25.4,3,Tlawng,9,FALSE,5.98,0.665,0,9
Manipur,0,0,0,20.7,2,Barak,20.5,FALSE,10.02,0.489,0,12
Sikkim,26.456392,185.867136,315.9456129,25.7,0,Teesta,15,FALSE,13.89,0.926,1,7
Arunachal Pradesh,56.34936,131.0440483,170.2228671,26.1,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,62.05,0.587,0,5
Arunachal Pradesh,2.5076108,3.672497153,16.77866185,25.5,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,37.42,0.354,1,10
Arunachal Pradesh,0,1.424934804,50.39034951,31.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,122.29,1.157,1,6
Arunachal Pradesh,72.27069,88.7843399,93.09284976,19.6,3,Subansiri,42,FALSE,18.61,0.443,1,10
Meghalaya,75.90454,145.4439735,346.9392262,20.5,1,Brahmaputra (Guwahati gauge),49.68,TRUE,55.59,1.119,1,7
Sikkim,3.1475847,11.56564307,11.73356649,29.8,2,Teesta,15,FALSE,9.7,0.647,1,6
Meghalaya,47.787514,76.99492931,123.9765973,22.7,1,Barak,20.5,FALSE,13.78,0.672,1,8
Meghalaya,37.604214,40.39701343,52.99001665,20.2,0,Brahmaputra (Guwahati gauge),49.68,TRUE,31.55,0.635,1,6
Meghalaya,0,0,0,20.6,0,Brahmaputra (Dhubri gauge),28.62,TRUE,10.19,0.356,1,3
Arunachal Pradesh,2.3411093,18.08345509,33.80131653,17.1,2,Brahmaputra (Tezpur gauge),65.23,TRUE,30.79,0.472,0,4
Nagaland,83.82203,131.8666744,135.0483521,16.9,0,Dikrong,14,FALSE,8.58,0.613,1,9
Meghalaya,0,0,0,22.4,0,Brahmaputra (Dhubri gauge),28.62,TRUE,11.85,0.414,0,11
Manipur,43.22185,49.2314437,86.96457493,19.2,0,Imphal River,8,FALSE,8.59,1.074,0,8
Assam,100.1136,213.6407595,241.4870949,4.9,1,Manas,33,FALSE,32.64,0.989,1,6
Assam,67.08707,72.61725977,293.1350038,6.7,1,Brahmaputra (Dhubri gauge),28.62,TRUE,30.59,1.069,1,7
Meghalaya,2.9946902,6.424349129,6.424349129,19.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,13.13,0.362,1,4
Arunachal Pradesh,3.433005,10.61870134,52.76559818,28.8,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,73.67,0.697,0,8
Arunachal Pradesh,2.123141,16.73083234,39.18579888,9.4,0,Dikrong,14,FALSE,13.72,0.98,0,6
Sikkim,113.00335,176.0257206,252.9907598,29.8,2,Teesta,15,FALSE,11.85,0.79,1,6
Meghalaya,8.342592,171.445528,665.9630909,20.5,1,Brahmaputra (Guwahati gauge),49.68,TRUE,53.95,1.086,1,7
Sikkim,67.508804,99.80457401,172.5621014,33.4,1,Teesta,15,FALSE,8.5,0.567,1,8
Arunachal Pradesh,9.946021,10.07529664,50.41669965,31.9,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,55.7,0.527,0,3
Sikkim,2.477179,87.0608983,125.6191573,29.8,2,Teesta,15,FALSE,9.02,0.601,0,10
Mizoram,53.695026,73.23657417,218.3238554,22.2,1,Tlawng,9,FALSE,8.91,0.99,0,7
Sikkim,35.471615,154.1569138,293.6770658,34.2,1,Teesta,15,FALSE,14.58,0.972,1,6
Tripura,2.236744,14.83973169,69.77963567,12.6,1,Gomti,12,FALSE,7.4,0.617,1,8
Meghalaya,124.27214,149.5074883,196.9090995,18.7,0,Brahmaputra (Guwahati gauge),49.68,TRUE,43.87,0.883,1,8
Arunachal Pradesh,0,0,0,19.3,0,Dikrong,14,FALSE,3.7,0.264,0,3
Sikkim,0,0,0,29.8,2,Teesta,15,FALSE,5.49,0.366,0,1
Meghalaya,0,0,0,21.6,0,Brahmaputra (Goalpara gauge),36.27,TRUE,17.74,0.489,0,1
Arunachal Pradesh,76.307976,264.0731506,325.1720389,31.1,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,137.41,1.3,1,7
Nagaland,0,0,0,17.9,0,Dhansiri,40,FALSE,16.44,0.411,1,1
Sikkim,0,0,0.23654449,25.5,2,Teesta,15,FALSE,2.88,0.192,1,11
Arunachal Pradesh,0,0,0.711756468,17.4,1,Dikrong,14,FALSE,3.63,0.259,0,12
Nagaland,0,0,6.844168942,20.5,0,Kopili,30,FALSE,11.73,0.391,0,10
Assam,0,0,0,1.8,1,Dikrong,14,FALSE,6.01,0.429,0,12
Arunachal Pradesh,21.42582,62.19097137,147.0239205,9.4,0,Dikrong,14,FALSE,12.82,0.916,1,7
Mizoram,50.31142,66.46544957,88.75166762,20.7,0,Tlawng,9,FALSE,6.44,0.716,1,7
Manipur,2.1000354,26.39147353,49.5816526,17.5,1,Imphal River,8,FALSE,2.77,0.346,0,5
Nagaland,0,0,0,21.7,0,Dhansiri,40,FALSE,17.84,0.446,1,3
Arunachal Pradesh,0,0,6.937086821,17.9,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,43.34,0.41,0,5
Meghalaya,0,0,0,17.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,17.99,0.496,0,12
Arunachal Pradesh,0,0,0.792598397,19.1,3,Brahmaputra (Dibrugarh gauge),105.7,TRUE,99.46,0.941,0,6
Mizoram,4.51577,4.515769958,7.923202623,25,1,Tlawng,9,FALSE,3.41,0.379,1,3
Manipur,0,0,0,10.7,0,Imphal River,8,FALSE,2.27,0.284,1,11
Arunachal Pradesh,0,6.909762144,7.060634881,27.1,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,102,0.965,0,9
Meghalaya,0,0,0,18.3,0,Brahmaputra (Dhubri gauge),28.62,TRUE,16.66,0.582,0,3
Meghalaya,0,0,0,23,0,Kopili,30,FALSE,14.37,0.479,0,11
Assam,38.30319,183.4569492,238.6611228,1.3,0,Dikrong,14,FALSE,11.83,0.845,1,6
Tripura,8.160685,20.6022706,29.1201022,11.3,1,Tlawng,9,FALSE,4.48,0.498,1,9
Assam,0,0,10.3214047,7.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,21.25,0.201,1,10
Arunachal Pradesh,0,0.070339277,0.070339277,18.6,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,32.66,0.309,1,12
Arunachal Pradesh,6.17382,6.194891745,27.00211241,31.5,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,48.62,0.46,0,3
Arunachal Pradesh,0.1280671,0.455495479,8.391585471,9.4,0,Dikrong,14,FALSE,12.78,0.913,0,9
Meghalaya,25.234245,28.2851786,67.72285342,20.6,0,Brahmaputra (Dhubri gauge),28.62,TRUE,16.49,0.576,1,7
Nagaland,9.74598,54.78693199,77.72559881,12.2,1,Dikrong,14,FALSE,13.23,0.945,1,6
Manipur,0,0,0,9.1,1,Doyang,18,FALSE,6.75,0.375,0,1
Assam,16.475069,152.2359619,227.8688307,3.9,1,Dikrong,14,FALSE,12.22,0.873,0,6
Manipur,0,0,0,17.5,1,Imphal River,8,FALSE,6.7,0.838,1,2
Meghalaya,0,0,0,18.3,0,Brahmaputra (Dhubri gauge),28.62,TRUE,15.8,0.552,1,1
Manipur,0,0,10.44653726,19.6,0,Imphal River,8,FALSE,6.91,0.864,1,4
Meghalaya,11.611484,23.03240442,95.40055871,21.9,1,Brahmaputra (Guwahati gauge),49.68,TRUE,34.97,0.704,1,7
Tripura,0,3.305128813,10.08659601,20.2,1,Gomti,12,FALSE,4.49,0.374,1,11
Assam,120.86235,168.5679445,236.0408092,6.7,0,Brahmaputra (Dhubri gauge),28.62,TRUE,23.33,0.815,1,6
Assam,0,0,3.862940073,6.3,1,Brahmaputra (Goalpara gauge),36.27,TRUE,19.04,0.525,1,2
Meghalaya,59.373993,105.7104359,121.6213045,20.5,1,Brahmaputra (Guwahati gauge),49.68,TRUE,31.8,0.64,1,7
Meghalaya,89.42165,264.2340956,407.7455578,18.9,0,Brahmaputra (Guwahati gauge),49.68,TRUE,49.63,0.999,1,7
Meghalaya,39.878036,159.9114265,457.5191193,16.4,0,Brahmaputra (Dhubri gauge),28.62,TRUE,27.27,0.953,1,6
Manipur,4.923758,7.026192427,14.15275139,17.5,1,Imphal River,8,FALSE,1.98,0.247,1,5
Mizoram,6.5448494,64.15619278,114.4155617,22.2,1,Tlawng,9,FALSE,5.9,0.656,1,7
Meghalaya,0,0,0,20.7,1,Barak,20.5,FALSE,10.09,0.492,1,11
Arunachal Pradesh,0,0,0,26.1,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,88.68,0.839,1,2
Meghalaya,0,0,0,17.5,0,Brahmaputra (Dhubri gauge),28.62,TRUE,9.19,0.321,1,12
Manipur,72.305336,128.2936416,182.6850866,8.4,2,Imphal River,8,FALSE,5.1,0.637,0,5
Tripura,5.242883,28.42816567,76.68662593,17.3,0,Khowai,10,FALSE,6.77,0.677,1,7
Manipur,0,52.15002418,116.067826,15.3,0,Imphal River,8,FALSE,7.9,0.987,0,9
Arunachal Pradesh,6.1633964,6.163396358,16.79806453,18.6,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,38.16,0.361,0,2
Sikkim,87.72376,146.1858502,321.9573794,25.5,2,Teesta,15,FALSE,15.39,1.026,1,7
Arunachal Pradesh,5.55464,54.15720654,91.06120777,27.2,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,56.34,0.533,0,6
Mizoram,1.5672818,2.791720748,24.82512742,23.4,1,Tlawng,9,FALSE,5.73,0.637,0,9
Assam,0,2.959458113,4.487385321,3.3,0,Brahmaputra (Tezpur gauge),65.23,TRUE,29.74,0.456,0,4
Meghalaya,76.19935,196.4758654,805.6510706,20.5,1,Brahmaputra (Guwahati gauge),49.68,TRUE,56.29,1.133,1,7
Nagaland,7.938164,61.4449048,98.92679203,12.7,1,Brahmaputra (Neamatighat gauge),85.05,TRUE,91.6,1.077,1,7
Arunachal Pradesh,0,0,0,28.8,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,63.42,0.6,1,8
Arunachal Pradesh,0,2.670763493,2.856147632,18.6,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,39.11,0.37,0,10
Meghalaya,0,0.04310374,0.646556064,22.7,1,Barak,20.5,FALSE,7.46,0.364,0,10
Assam,0,0,0,4.2,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,29.7,0.281,1,1
Assam,11.47249,27.67285395,87.78670216,4.9,1,Manas,33,FALSE,32.24,0.977,1,7
Arunachal Pradesh,0,43.30058502,88.24901126,18,0,Dikrong,14,FALSE,12.77,0.912,0,9
Manipur,11.2171,30.63338375,98.69656849,13.9,1,Imphal River,8,FALSE,9.42,1.177,0,6
Meghalaya,38.029663,135.0551376,532.3801117,16.4,0,Brahmaputra (Dhubri gauge),28.62,TRUE,31.54,1.102,0,6
Nagaland,0.62332404,14.13364851,15.5634225,15.1,2,Brahmaputra (Neamatighat gauge),85.05,TRUE,29.6,0.348,1,4
Mizoram,0,0,0,23.3,0,Tlawng,9,FALSE,2.56,0.284,0,11
Meghalaya,0,0,0,17.1,1,Manas,33,FALSE,14.16,0.429,0,1
Arunachal Pradesh,105.07531,105.2564779,124.1138037,23,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,64.05,0.606,0,8
Arunachal Pradesh,2.6867826,3.93332231,44.44806963,26.1,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,91.22,0.863,1,8
Meghalaya,130.97678,141.4541249,205.893268,15.9,1,Brahmaputra (Dhubri gauge),28.62,TRUE,19.15,0.669,1,5
Tripura,0,0,13.75846672,14.9,0,Gomti,12,FALSE,8.33,0.694,0,10
Arunachal Pradesh,55.127335,78.14302731,110.6667469,24.7,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,59.09,0.559,1,10
Mizoram,0,0,20.2023381,22.1,2,Tlawng,9,FALSE,4.95,0.55,1,5
Arunachal Pradesh,76.8,100.6000032,125.0000036,35.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,84.45,0.799,1,8
Arunachal Pradesh,6.4133906,17.68740511,17.68740511,29.1,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,50.74,0.48,1,9
Sikkim,102.11413,142.4407177,196.1304739,25.5,2,Teesta,15,FALSE,13.77,0.918,1,7
Assam,2.9092736,2.909273624,8.950447202,5.9,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,49.78,0.471,1,2
Meghalaya,0,3.27393198,22.90621853,19.6,0,Kopili,30,FALSE,19.38,0.646,0,9
Mizoram,0.5675665,3.874976754,3.938140355,23.3,0,Tlawng,9,FALSE,4.31,0.479,0,5
Meghalaya,5.8212404,30.84712553,321.5088229,21.6,0,Brahmaputra (Goalpara gauge),36.27,TRUE,31.88,0.879,1,8
Meghalaya,1.6335168,5.595540047,6.055634081,22.1,0,Brahmaputra (Guwahati gauge),49.68,TRUE,19.42,0.391,0,3
Arunachal Pradesh,0.23178637,0.23178637,5.106335282,25.8,2,Brahmaputra (Dibrugarh gauge),105.7,TRUE,102.95,0.974,1,8
Manipur,4.1655426,35.53037548,93.300179,14.6,2,Imphal River,8,FALSE,7.89,0.986,1,8
Sikkim,0,0,0,28.8,0,Teesta,15,FALSE,7.17,0.478,1,11
Arunachal Pradesh,0,0,12.13424605,33.6,2,Brahmaputra (Dibrugarh gauge),105.7,TRUE,112.36,1.063,1,6
Arunachal Pradesh,1.7220843,4.305210829,42.54607201,9.4,0,Dikrong,14,FALSE,12.18,0.87,1,10
Tripura,44.438408,52.82206059,86.02252273,16.1,0,Gomti,12,FALSE,7.13,0.594,0,5
Arunachal Pradesh,72.56371,105.6286955,177.6434326,28.6,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,88.68,0.839,0,7
Arunachal Pradesh,2.4988472,6.339886427,8.208101783,17.6,1,Subansiri,42,FALSE,33.6,0.8,1,8
Manipur,0,0,0,19.2,0,Tlawng,9,FALSE,3.89,0.432,0,11
Manipur,0,0,0,18,0,Imphal River,8,FALSE,6.47,0.809,1,1
Sikkim,0,0,0,28.8,0,Teesta,15,FALSE,6.36,0.424,0,10
Sikkim,49.069923,151.7270069,175.6446164,33.6,1,Teesta,15,FALSE,11.06,0.737,1,9
Arunachal Pradesh,0.26653168,22.37739632,74.63671371,30.2,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,63.31,0.599,1,8
Meghalaya,4.854098,11.56410027,86.44269651,25,1,Brahmaputra (Guwahati gauge),49.68,TRUE,53.21,1.071,0,9
Assam,56.751057,114.5795231,197.4252782,6.5,0,Brahmaputra (Tezpur gauge),65.23,TRUE,53.75,0.824,1,6
Tripura,0,10.52860069,236.2644993,16.1,0,Gomti,12,FALSE,9,0.75,0,6
Mizoram,0,36.47926044,114.2323303,25,2,Tlawng,9,FALSE,8.92,0.991,1,9
Tripura,0,0,1.346697092,14.8,1,Khowai,10,FALSE,3.73,0.373,1,10
Arunachal Pradesh,111.37041,173.2795523,197.1892708,22.7,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,85.93,0.813,1,5
Arunachal Pradesh,0,5.94477129,75.73878908,17.6,1,Subansiri,42,FALSE,40.74,0.97,1,7
Assam,0,0,4.660893917,11.2,0,Brahmaputra (Dhubri gauge),28.62,TRUE,9.85,0.344,0,11
Tripura,207.87698,281.8838103,290.843174,16.1,0,Gomti,12,FALSE,12.84,1.07,1,7
Manipur,12.067303,25.54912782,73.50797665,13.1,1,Imphal River,8,FALSE,8.13,1.016,1,8
Assam,0,1.924737513,96.61815315,7.7,3,Barak,20.5,FALSE,16.91,0.825,0,9
Assam,52.645313,58.95553926,112.8793691,3.1,0,Dikrong,14,FALSE,9.04,0.646,1,9
Assam,59.16118,112.7423716,202.9016151,4.8,0,Brahmaputra (Tezpur gauge),65.23,TRUE,36.79,0.564,0,7
Manipur,0,0,0,10.7,0,Imphal River,8,FALSE,6.57,0.821,1,2
Arunachal Pradesh,90.650475,128.6195545,236.3056211,23.1,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,89.21,0.844,1,7
Tripura,0,0,92.73512679,12.7,0,Khowai,10,FALSE,11.28,1.128,1,6
Assam,1.6597505,2.407254755,2.407254755,5.9,2,Subansiri,42,FALSE,15.08,0.359,0,10
Meghalaya,0,0,91.11783314,17.5,0,Brahmaputra (Dhubri gauge),28.62,TRUE,22.67,0.792,0,9
Manipur,11.391788,23.36339736,31.83307528,13.2,1,Doyang,18,FALSE,11.45,0.636,1,7
Nagaland,75.27514,82.80053973,83.77111262,15.1,2,Brahmaputra (Neamatighat gauge),85.05,TRUE,49.33,0.58,0,9
Manipur,2.5581193,4.043715417,11.940292,18,0,Imphal River,8,FALSE,5.02,0.627,1,8
Tripura,0,0,0,14.2,0,Khowai,10,FALSE,4.17,0.417,0,1
Mizoram,0,0,0,21.4,0,Tlawng,9,FALSE,2.9,0.322,0,11
Manipur,65.30329,103.8330917,151.033392,9.7,0,Doyang,18,FALSE,19.17,1.065,1,9
Tripura,63.449677,238.9369373,338.4518433,13.7,0,Gomti,12,FALSE,11.83,0.986,0,8
Nagaland,53.527718,56.09542418,117.1176577,20.1,1,Dhansiri,40,FALSE,30.08,0.752,0,7
